VCD info: dumpfile soc_top_tb.vcd opened for output.
[TB] Applying System Reset Initialization...
Time=3090ns | PC=0x00000258 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3110ns | PC=0x0000025c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3130ns | PC=0x00000260 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3150ns | PC=0x00000264 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3170ns | PC=0x00000268 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3190ns | PC=0x0000026c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3210ns | PC=0x00000270 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3230ns | PC=0x00000274 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3250ns | PC=0x00000278 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3270ns | PC=0x0000027c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3290ns | PC=0x00000280 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3310ns | PC=0x00000284 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3330ns | PC=0x00000288 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3350ns | PC=0x0000028c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3370ns | PC=0x00000290 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3390ns | PC=0x00000294 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3410ns | PC=0x00000298 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3430ns | PC=0x0000029c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
[TEST STAGE 4] Driving External Pins to Test Input Capture Mode...
Time=3450ns | PC=0x000002a0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3470ns | PC=0x000002a4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3490ns | PC=0x000002a8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3510ns | PC=0x000002ac | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3530ns | PC=0x000002b0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3550ns | PC=0x000002b4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3570ns | PC=0x000002b8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3590ns | PC=0x000002bc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3610ns | PC=0x000002c0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3630ns | PC=0x000002c4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3650ns | PC=0x000002c8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3670ns | PC=0x000002cc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3690ns | PC=0x000002d0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3710ns | PC=0x000002d4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3730ns | PC=0x000002d8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3750ns | PC=0x000002dc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3770ns | PC=0x000002e0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3790ns | PC=0x000002e4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3810ns | PC=0x000002e8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3830ns | PC=0x000002ec | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3850ns | PC=0x000002f0 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3870ns | PC=0x000002f4 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3890ns | PC=0x000002f8 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3910ns | PC=0x000002fc | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3930ns | PC=0x00000300 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3950ns | PC=0x00000304 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3970ns | PC=0x00000308 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=3990ns | PC=0x0000030c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4010ns | PC=0x00000310 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4030ns | PC=0x00000314 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4050ns | PC=0x00000318 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4070ns | PC=0x0000031c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4090ns | PC=0x00000320 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4110ns | PC=0x00000324 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4130ns | PC=0x00000328 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4150ns | PC=0x0000032c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4170ns | PC=0x00000330 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4190ns | PC=0x00000334 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4210ns | PC=0x00000338 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4230ns | PC=0x0000033c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4250ns | PC=0x00000340 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4270ns | PC=0x00000344 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4290ns | PC=0x00000348 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4310ns | PC=0x0000034c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4330ns | PC=0x00000350 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4350ns | PC=0x00000354 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4370ns | PC=0x00000358 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4390ns | PC=0x0000035c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4410ns | PC=0x00000360 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4430ns | PC=0x00000364 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4450ns | PC=0x00000368 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4470ns | PC=0x0000036c | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4490ns | PC=0x00000370 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4510ns | PC=0x00000374 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
Time=4530ns | PC=0x00000378 | ALU_Result=0x00000000 | APB_Sel=0 | RAM_Sel=1
